TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
8:56 AM,45.0,35.1,68,30.23,10.0,SSE,4.6,-,N/A,,Partly Cloudy,150,2015-01-02 16:56:00
9:56 AM,46.0,35.1,66,30.23,10.0,East,3.5,-,N/A,,Scattered Clouds,90,2015-01-02 17:56:00
10:56 AM,46.9,37.0,68,30.22,10.0,East,4.6,-,N/A,,Scattered Clouds,100,2015-01-02 18:56:00
11:56 AM,48.0,37.0,66,30.18,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-02 19:56:00
12:56 PM,50.0,35.1,57,30.15,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 20:56:00
1:56 PM,51.1,34.0,52,30.13,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 21:56:00
2:56 PM,52.0,35.1,53,30.13,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 22:56:00
3:56 PM,51.1,37.9,61,30.14,9.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-02 23:56:00
4:56 PM,50.0,37.9,63,30.13,9.0,Calm,Calm,-,N/A,,Clear,0,2015-01-03 00:56:00
5:56 PM,50.0,35.1,57,30.12,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-03 01:56:00
6:56 PM,48.0,35.1,61,30.15,10.0,SSW,3.5,-,N/A,,Clear,200,2015-01-03 02:56:00
7:56 PM,50.0,37.9,63,30.16,10.0,NE,3.5,-,N/A,,Clear,40,2015-01-03 03:56:00
8:56 PM,48.0,37.9,68,30.18,10.0,NNW,3.5,-,N/A,,Clear,330,2015-01-03 04:56:00
9:56 PM,46.9,35.1,63,30.19,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-03 05:56:00
10:56 PM,44.1,37.0,76,30.19,9.0,SSE,4.6,-,N/A,,Clear,160,2015-01-03 06:56:00
11:56 PM,45.0,37.9,76,30.20,6.0,Calm,Calm,-,N/A,,Haze,0,2015-01-03 07:56:00
12:56 AM,41.0,37.0,86,30.19,9.0,Calm,Calm,-,N/A,,Clear,0,2015-01-03 08:56:00
1:56 AM,39.9,35.1,83,30.21,10.0,SW,3.5,-,N/A,,Clear,230,2015-01-03 09:56:00
2:56 AM,41.0,36.0,82,30.21,9.0,Calm,Calm,-,N/A,,Clear,0,2015-01-03 10:56:00
3:56 AM,39.2,35.6,87,30.21,9.0,Calm,Calm,-,N/A,,Clear,0,2015-01-03 11:56:00
4:56 AM,39.9,37.0,89,30.22,8.0,Calm,Calm,-,N/A,,Clear,0,2015-01-03 12:56:00
5:56 AM,39.9,35.1,83,30.22,7.0,SSE,3.5,-,N/A,,Clear,160,2015-01-03 13:56:00
6:56 AM,41.0,37.0,86,30.23,9.0,SSE,3.5,-,N/A,,Partly Cloudy,160,2015-01-03 14:56:00
7:56 AM,39.9,37.0,89,30.24,8.0,SSE,4.6,-,N/A,,Partly Cloudy,150,2015-01-03 15:56:00
8:56 AM,44.1,37.9,79,30.26,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-03 16:56:00
9:56 AM,46.0,39.9,79,30.29,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-03 17:56:00
10:56 AM,48.9,39.0,69,30.27,8.0,NE,3.5,-,N/A,,Partly Cloudy,40,2015-01-03 18:56:00
11:56 AM,50.0,37.9,63,30.25,9.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-03 19:56:00
12:56 PM,51.1,37.0,59,30.24,10.0,NNE,4.6,-,N/A,,Partly Cloudy,20,2015-01-03 20:56:00
1:56 PM,53.1,43.0,69,30.24,9.0,North,6.9,-,N/A,,Partly Cloudy,10,2015-01-03 21:56:00
2:56 PM,53.1,41.0,64,30.25,9.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-03 22:56:00
3:56 PM,53.1,41.0,64,30.27,9.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-03 23:56:00
4:56 PM,50.0,45.0,83,30.27,9.0,ENE,3.5,-,N/A,,Partly Cloudy,70,2015-01-04 00:56:00
5:56 PM,51.1,43.0,74,30.27,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-04 01:56:00
6:56 PM,48.9,41.0,74,30.28,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-04 02:56:00
7:56 PM,46.9,39.0,74,30.29,10.0,South,3.5,-,N/A,,Partly Cloudy,180,2015-01-04 03:56:00
8:56 PM,46.9,37.9,71,30.30,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-04 04:56:00
9:56 PM,46.0,39.0,76,30.31,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-04 05:56:00
10:56 PM,46.0,39.9,79,30.32,9.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-04 06:56:00
11:56 PM,46.0,39.9,79,30.32,9.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-04 07:56:00
12:56 AM,44.1,41.0,89,30.32,9.0,SSW,3.5,-,N/A,,Partly Cloudy,200,2015-01-04 08:56:00
1:56 AM,42.1,39.0,89,30.33,9.0,SW,3.5,-,N/A,,Partly Cloudy,220,2015-01-04 09:56:00
2:56 AM,43.0,39.9,89,30.34,6.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-04 10:56:00
3:56 AM,42.1,39.0,89,30.35,6.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-04 11:56:00
4:56 AM,43.0,41.0,93,30.35,6.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-04 12:56:00
5:56 AM,44.1,43.0,96,30.37,6.0,SSE,3.5,-,N/A,,Mostly Cloudy,160,2015-01-04 13:56:00
6:56 AM,45.0,43.0,93,30.40,6.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-04 14:56:00
7:56 AM,45.0,43.0,93,30.39,6.0,SSE,9.2,-,N/A,,Mostly Cloudy,150,2015-01-04 15:56:00
8:56 AM,46.0,41.0,83,30.41,6.0,Calm,Calm,-,N/A,,Haze,0,2015-01-04 16:56:00
9:56 AM,48.9,41.0,74,30.43,8.0,NNE,4.6,-,N/A,,Scattered Clouds,20,2015-01-04 17:56:00
10:56 AM,50.0,39.9,68,30.41,6.0,Calm,Calm,-,N/A,,Haze,0,2015-01-04 18:56:00
11:56 AM,51.1,37.9,61,30.40,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-04 19:56:00
12:56 PM,52.0,41.0,66,30.38,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-04 20:56:00
1:56 PM,54.0,41.0,62,30.37,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-04 21:56:00
2:56 PM,53.1,43.0,69,30.38,7.0,NNE,4.6,-,N/A,,Overcast,20,2015-01-04 22:56:00
3:56 PM,53.1,44.1,71,30.37,7.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-04 23:56:00
4:56 PM,52.0,45.0,77,30.38,7.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-05 00:56:00
5:56 PM,52.0,43.0,71,30.38,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-05 01:56:00
6:56 PM,51.1,41.0,68,30.38,8.0,SSE,4.6,-,N/A,,Partly Cloudy,150,2015-01-05 02:56:00
7:56 PM,50.0,39.9,68,30.37,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-05 03:56:00
8:56 PM,50.0,46.4,87,30.37,8.0,ENE,5.8,-,N/A,,Partly Cloudy,70,2015-01-05 04:56:00
9:56 PM,48.0,41.0,77,30.39,9.0,Calm,Calm,-,N/A,,Clear,0,2015-01-05 05:56:00
10:56 PM,48.0,39.0,71,30.39,9.0,SSE,3.5,-,N/A,,Clear,160,2015-01-05 06:56:00
11:56 PM,46.0,41.0,83,30.39,9.0,SSE,3.5,-,N/A,,Clear,160,2015-01-05 07:56:00
12:56 AM,46.9,42.1,83,30.38,9.0,SE,4.6,-,N/A,,Clear,130,2015-01-05 08:56:00
1:56 AM,46.9,42.1,83,30.39,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-05 09:56:00
2:56 AM,44.1,41.0,89,30.39,10.0,South,3.5,-,N/A,,Clear,180,2015-01-05 10:56:00
3:56 AM,44.1,39.0,82,30.37,10.0,SSE,3.5,-,N/A,,Clear,150,2015-01-05 11:56:00
4:56 AM,45.0,39.9,82,30.36,10.0,SSE,5.8,-,N/A,,Clear,150,2015-01-05 12:56:00
5:56 AM,45.0,41.0,86,30.37,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-05 13:56:00
6:56 AM,44.1,37.9,79,30.38,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-05 14:56:00
7:56 AM,44.1,39.9,85,30.38,10.0,SE,3.5,-,N/A,,Mostly Cloudy,130,2015-01-05 15:56:00
8:56 AM,48.9,39.9,71,30.38,8.0,ESE,3.5,-,N/A,,Scattered Clouds,120,2015-01-05 16:56:00
9:56 AM,52.0,41.0,66,30.38,8.0,East,4.6,-,N/A,,Mostly Cloudy,100,2015-01-05 17:56:00
10:56 AM,54.0,39.0,57,30.35,8.0,ESE,5.8,-,N/A,,Mostly Cloudy,120,2015-01-05 18:56:00
11:56 AM,55.9,42.1,60,30.33,8.0,ENE,3.5,-,N/A,,Mostly Cloudy,70,2015-01-05 19:56:00
12:56 PM,55.9,41.0,57,30.31,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-05 20:56:00
1:56 PM,57.9,41.0,53,30.28,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-05 21:56:00
2:56 PM,59.0,42.1,53,30.28,8.0,East,3.5,-,N/A,,Mostly Cloudy,100,2015-01-05 22:56:00
3:56 PM,55.9,46.0,69,30.27,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-05 23:56:00
4:56 PM,54.0,46.0,75,30.26,9.0,East,3.5,-,N/A,,Mostly Cloudy,100,2015-01-06 00:56:00
5:56 PM,53.1,48.0,83,30.25,10.0,NE,3.5,-,N/A,,Scattered Clouds,50,2015-01-06 01:56:00
6:56 PM,54.0,42.1,64,30.25,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-06 02:56:00
7:56 PM,55.0,39.9,57,30.25,10.0,ESE,3.5,-,N/A,,Scattered Clouds,110,2015-01-06 03:56:00
8:56 PM,52.0,46.9,83,30.26,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 04:56:00
9:56 PM,51.1,48.0,89,30.26,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 05:56:00
10:56 PM,48.9,48.0,97,30.24,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 06:56:00
11:56 PM,48.0,42.1,80,30.23,10.0,South,5.8,-,N/A,,Partly Cloudy,180,2015-01-06 07:56:00
12:56 AM,50.0,43.0,77,30.23,10.0,ESE,5.8,-,N/A,,Partly Cloudy,120,2015-01-06 08:56:00
1:56 AM,50.0,46.9,89,30.23,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 09:56:00
2:56 AM,45.0,41.0,86,30.24,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 10:56:00
3:56 AM,46.9,41.0,80,30.22,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 11:56:00
4:56 AM,45.0,42.1,90,30.23,8.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-06 12:56:00
5:56 AM,45.0,41.0,86,30.24,9.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-06 13:56:00
6:56 AM,45.0,42.1,90,30.24,10.0,SSW,3.5,-,N/A,,Partly Cloudy,200,2015-01-06 14:56:00
7:56 AM,48.0,45.0,89,30.26,8.0,North,4.6,-,N/A,,Partly Cloudy,350,2015-01-06 15:56:00
8:56 AM,51.1,46.9,86,30.28,8.0,ENE,4.6,-,N/A,,Partly Cloudy,70,2015-01-06 16:56:00
9:56 AM,54.0,45.0,72,30.28,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 17:56:00
10:56 AM,54.0,46.0,75,30.27,8.0,East,3.5,-,N/A,,Partly Cloudy,80,2015-01-06 18:56:00
11:56 AM,55.9,42.1,60,30.23,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 19:56:00
12:56 PM,59.0,43.0,55,30.21,8.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-06 20:56:00
1:56 PM,57.9,46.9,67,30.19,8.0,North,4.6,-,N/A,,Partly Cloudy,10,2015-01-06 21:56:00
2:56 PM,57.9,48.0,70,30.18,9.0,North,5.8,-,N/A,,Partly Cloudy,10,2015-01-06 22:56:00
3:56 PM,59.0,45.0,60,30.17,9.0,Calm,Calm,-,N/A,,Clear,0,2015-01-06 23:56:00
4:56 PM,57.0,43.0,59,30.17,9.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 00:56:00
5:56 PM,57.0,43.0,59,30.18,9.0,South,3.5,-,N/A,,Clear,180,2015-01-07 01:56:00
6:56 PM,55.9,44.1,64,30.19,10.0,South,3.5,-,N/A,,Clear,170,2015-01-07 02:56:00
7:56 PM,55.9,43.0,62,30.20,10.0,SE,4.6,-,N/A,,Clear,140,2015-01-07 03:56:00
8:56 PM,55.0,44.1,67,30.20,10.0,ESE,3.5,-,N/A,,Clear,110,2015-01-07 04:56:00
9:56 PM,52.0,45.0,77,30.20,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 05:56:00
10:56 PM,50.0,44.1,80,30.19,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 06:56:00
11:56 PM,50.0,43.0,77,30.19,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 07:56:00
12:56 AM,48.9,42.1,77,30.19,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 08:56:00
1:56 AM,48.0,44.1,86,30.19,9.0,SSE,3.5,-,N/A,,Clear,150,2015-01-07 09:56:00
2:56 AM,46.9,43.0,86,30.18,10.0,SE,5.8,-,N/A,,Clear,140,2015-01-07 10:56:00
3:56 AM,50.0,46.9,89,30.17,10.0,ENE,3.5,-,N/A,,Clear,60,2015-01-07 11:56:00
4:56 AM,48.0,45.0,89,30.15,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 12:56:00
5:56 AM,46.0,44.1,93,30.16,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 13:56:00
6:56 AM,45.0,42.1,90,30.19,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-07 14:56:00
7:56 AM,48.9,45.0,86,30.20,8.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 15:56:00
8:56 AM,52.0,48.9,89,30.22,8.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 16:56:00
9:56 AM,55.9,48.0,75,30.23,6.0,Calm,Calm,-,N/A,,Clear,0,2015-01-07 17:56:00
10:56 AM,55.9,48.9,77,30.22,8.0,ENE,3.5,-,N/A,,Partly Cloudy,60,2015-01-07 18:56:00
11:56 AM,55.0,52.0,89,30.19,9.0,East,3.5,-,N/A,,Partly Cloudy,90,2015-01-07 19:56:00
12:56 PM,57.0,53.1,87,30.15,9.0,NE,3.5,-,N/A,,Scattered Clouds,50,2015-01-07 20:56:00
1:56 PM,57.9,50.0,75,30.13,9.0,NE,4.6,-,N/A,,Scattered Clouds,40,2015-01-07 21:56:00
2:56 PM,59.0,48.9,69,30.12,10.0,NNE,3.5,-,N/A,,Scattered Clouds,20,2015-01-07 22:56:00
3:56 PM,57.9,48.9,72,30.12,10.0,North,4.6,-,N/A,,Scattered Clouds,10,2015-01-07 23:56:00
4:56 PM,57.0,48.0,72,30.10,10.0,NNE,4.6,-,N/A,,Scattered Clouds,20,2015-01-08 00:56:00
5:56 PM,59.0,45.0,60,30.09,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-08 01:56:00
6:56 PM,57.9,46.9,67,30.09,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-08 02:56:00
7:56 PM,54.0,46.9,77,30.09,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-08 03:56:00
8:56 PM,55.0,48.0,77,30.09,10.0,South,3.5,-,N/A,,Partly Cloudy,190,2015-01-08 04:56:00
9:56 PM,53.1,48.9,86,30.08,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-08 05:56:00
10:56 PM,53.1,46.9,80,30.09,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-08 06:56:00
11:56 PM,51.1,46.9,86,30.09,10.0,SSE,5.8,-,N/A,,Scattered Clouds,160,2015-01-08 07:56:00


12:56 AM,52.0,45.0,77,30.07,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-08 08:56:00
1:56 AM,48.9,46.0,90,30.08,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-01-08 09:56:00
2:56 AM,48.9,45.0,86,30.09,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 10:56:00
3:56 AM,48.9,45.0,86,30.07,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 11:56:00
4:56 AM,50.0,46.0,86,30.06,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 12:56:00
5:56 AM,50.0,46.9,89,30.06,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 13:56:00
6:56 AM,50.0,45.0,83,30.06,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 14:56:00
7:56 AM,52.0,50.0,93,30.08,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 15:56:00
8:56 AM,52.0,51.1,97,30.10,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 16:56:00
9:56 AM,55.9,50.0,80,30.10,9.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 17:56:00
10:56 AM,55.9,50.0,80,30.09,8.0,NNE,4.6,-,N/A,,Mostly Cloudy,30,2015-01-08 18:56:00
11:56 AM,55.0,51.1,86,30.06,5.0,ENE,3.5,-,N/A,,Overcast,60,2015-01-08 19:56:00
12:56 PM,55.9,52.0,87,30.03,4.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 20:56:00
1:56 PM,55.9,52.0,87,30.04,4.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-08 21:56:00
2:56 PM,57.0,51.1,81,30.02,5.0,Calm,Calm,-,N/A,,Haze,0,2015-01-08 22:56:00
3:56 PM,57.9,50.0,75,30.02,5.0,Calm,Calm,-,N/A,,Haze,0,2015-01-08 23:56:00
4:56 PM,57.9,46.9,67,30.02,6.0,Calm,Calm,-,N/A,,Haze,0,2015-01-09 00:56:00
5:56 PM,57.9,48.0,70,30.01,6.0,Calm,Calm,-,N/A,,Haze,0,2015-01-09 01:56:00
6:56 PM,55.0,50.0,83,30.01,7.0,ENE,3.5,-,N/A,,Mostly Cloudy,60,2015-01-09 02:56:00
7:56 PM,54.0,52.0,93,30.01,6.0,East,3.5,-,N/A,,Mostly Cloudy,90,2015-01-09 03:56:00
8:56 PM,55.9,48.0,75,30.01,7.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 04:56:00
9:56 PM,54.0,48.0,80,30.01,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 05:56:00
10:56 PM,53.1,51.1,93,30.01,8.0,NNE,3.5,-,N/A,,Mostly Cloudy,30,2015-01-09 06:56:00
11:56 PM,53.1,48.0,83,30.01,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 07:56:00
12:56 AM,52.0,48.9,89,30.01,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 08:56:00
1:56 AM,52.0,48.9,89,30.01,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 09:56:00
2:56 AM,53.1,50.0,89,30.01,8.0,North,4.6,-,N/A,,Overcast,10,2015-01-09 10:56:00
3:56 AM,53.1,52.0,96,30.01,6.0,Calm,Calm,-,N/A,,Overcast,0,2015-01-09 11:56:00
4:56 AM,52.0,51.1,97,30.01,6.0,SSE,3.5,-,N/A,,Overcast,160,2015-01-09 12:56:00
5:56 AM,51.1,50.0,96,29.99,6.0,WNW,5.8,-,N/A,,Mostly Cloudy,290,2015-01-09 13:56:00
6:56 AM,52.0,52.0,100,30.01,7.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 14:56:00
7:56 AM,52.0,52.0,100,30.02,7.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 15:56:00
8:56 AM,54.0,51.1,90,30.03,7.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 16:56:00
9:56 AM,54.0,53.1,97,30.03,7.0,NE,3.5,-,N/A,,Mostly Cloudy,40,2015-01-09 17:56:00
10:56 AM,55.9,53.1,90,30.03,7.0,NNE,4.6,-,N/A,,Mostly Cloudy,20,2015-01-09 18:56:00
11:56 AM,55.0,51.1,86,30.00,7.0,NNE,6.9,-,N/A,,Mostly Cloudy,30,2015-01-09 19:56:00
12:56 PM,57.2,51.8,82,29.98,8.0,NNE,3.5,-,N/A,,Mostly Cloudy,30,2015-01-09 20:56:00
1:56 PM,57.9,52.0,81,29.96,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-09 21:56:00
2:56 PM,57.9,53.1,84,29.97,7.0,East,4.6,-,N/A,,Mostly Cloudy,80,2015-01-09 22:56:00
3:56 PM,62.1,53.1,72,29.98,9.0,WNW,11.5,-,N/A,,Mostly Cloudy,290,2015-01-09 23:56:00
4:56 PM,59.0,54.0,83,29.97,10.0,West,5.8,-,N/A,,Mostly Cloudy,280,2015-01-10 00:56:00
5:27 PM,57.2,53.6,88,29.97,10.0,WNW,10.4,-,N/A,,Mostly Cloudy,300,2015-01-10 01:27:00
5:56 PM,57.0,55.0,93,29.98,10.0,West,6.9,-,N/A,,Scattered Clouds,280,2015-01-10 01:56:00
6:56 PM,55.9,54.0,93,29.99,10.0,WNW,9.2,-,N/A,,Scattered Clouds,290,2015-01-10 02:56:00
7:56 PM,55.0,54.0,96,29.99,9.0,WNW,8.1,-,N/A,,Scattered Clouds,290,2015-01-10 03:56:00
8:56 PM,55.9,53.1,90,30.00,10.0,West,5.8,-,N/A,,Mostly Cloudy,280,2015-01-10 04:56:00
9:56 PM,54.0,51.1,90,30.01,10.0,SSE,3.5,-,N/A,,Mostly Cloudy,150,2015-01-10 05:56:00
10:56 PM,54.0,51.1,90,29.99,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-10 06:56:00
11:56 PM,53.1,52.0,96,29.99,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-10 07:56:00
12:56 AM,54.0,51.1,90,29.99,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2015-01-10 08:56:00
1:56 AM,54.0,52.0,93,29.99,8.0,North,5.8,-,N/A,,Scattered Clouds,350,2015-01-10 09:56:00
2:56 AM,53.1,53.1,100,29.99,7.0,Calm,Calm,-,N/A,,Clear,0,2015-01-10 10:56:00
